"","Date","Nest","Ind.","weight.grams","CT.W","PT.L","instar","Measurement","Treatment","notes","weight.mg"
"191","4 July 2018","Col_13",11,0.00232,0.99,1.6,"Sub 1","before","Control","",2.32
"192","4 July 2018","Col_13",12,0.00232,0.96,1.62,"Sub 1","before","Control","",2.32
"193","4 July 2018","Col_13",13,0.00232,0.96,1.6,"Sub 1","before","Control","",2.32
"194","4 July 2018","Col_13",14,0.00232,0.83,1.28,"Sub 1","before","Control","",2.32
"195","4 July 2018","Col_13",15,0.00232,0.91,1.57,"Sub 1","before","Control","",2.32
"206","4 July 2018","Col_14",11,0.002292,0.95,1.45,"Sub 1","before","Control","",2.292
"207","4 July 2018","Col_14",12,0.002292,0.94,1.48,"Sub 1","before","Control","",2.292
"208","4 July 2018","Col_14",13,0.002292,0.85,1.31,"Sub 1","before","Control","",2.292
"209","4 July 2018","Col_14",14,0.002292,0.99,1.62,"Sub 1","before","Control","",2.292
"210","4 July 2018","Col_14",15,0.002292,0.97,1.63,"Sub 1","before","Control","",2.292
"221","4 July 2018","Col_15",11,0.002172,0.92,1.43,"Sub 1","before","Control","",2.172
"222","4 July 2018","Col_15",12,0.002172,0.98,1.76,"Sub 1","before","Control","",2.172
"223","4 July 2018","Col_15",13,0.002172,0.95,1.7,"Sub 1","before","Control","",2.172
"224","4 July 2018","Col_15",14,0.002172,0.93,1.47,"Sub 1","before","Control","",2.172
"225","4 July 2018","Col_15",15,0.002172,0.99,1.61,"Sub 1","before","Control","",2.172
"236","4 July 2018","Col_16",11,0.002328,0.89,1.51,"Sub 1","before","Control","",2.328
"237","4 July 2018","Col_16",12,0.002328,1,1.63,"Sub 1","before","Control","",2.328
"238","4 July 2018","Col_16",13,0.002328,0.95,1.3,"Sub 1","before","Control","",2.328
"239","4 July 2018","Col_16",14,0.002328,1,1.6,"Sub 1","before","Control","",2.328
"240","4 July 2018","Col_16",15,0.002328,0.98,1.73,"Sub 1","before","Control","",2.328
"251","4 July 2018","Col_17",11,0.002764,0.98,1.58,"Sub 1","before","Control","",2.764
"252","4 July 2018","Col_17",12,0.002764,1.04,2.06,"Sub 1","before","Control","",2.764
"253","4 July 2018","Col_17",13,0.002764,1.06,1.92,"Sub 1","before","Control","",2.764
"254","4 July 2018","Col_17",14,0.002764,1.06,1.82,"Sub 1","before","Control","",2.764
"255","4 July 2018","Col_17",15,0.002764,0.94,1.83,"Sub 1","before","Control","",2.764
"266","4 July 2018","Col_18",11,0.002476,1.03,1.92,"Sub 1","before","Control","",2.476
"267","4 July 2018","Col_18",12,0.002476,0.98,1.65,"Sub 1","before","Control","",2.476
"268","4 July 2018","Col_18",13,0.002476,0.95,1.82,"Sub 1","before","Control","",2.476
"269","4 July 2018","Col_18",14,0.002476,0.9,1.24,"Sub 1","before","Control","",2.476
"270","4 July 2018","Col_18",15,0.002476,0.97,2.09,"Sub 1","before","Control","",2.476
"281","4 July 2018","Col_19",11,0.002396,1.05,1.87,"Sub 1","before","Control","",2.396
"282","4 July 2018","Col_19",12,0.002396,0.91,1.59,"Sub 1","before","Control","",2.396
"283","4 July 2018","Col_19",13,0.002396,1.08,1.73,"Sub 1","before","Control","",2.396
"284","4 July 2018","Col_19",14,0.002396,0.96,1.87,"Sub 1","before","Control","",2.396
"285","4 July 2018","Col_19",15,0.002396,0.99,1.51,"Sub 1","before","Control","",2.396
"296","4 July 2018","Col_20",11,0.002832,1.09,1.78,"Sub 1","before","Control","",2.832
"297","4 July 2018","Col_20",12,0.002832,0.98,1.82,"Sub 1","before","Control","",2.832
"298","4 July 2018","Col_20",13,0.002832,1.01,2,"Sub 1","before","Control","",2.832
"299","4 July 2018","Col_20",14,0.002832,0.98,1.95,"Sub 1","before","Control","",2.832
"300","4 July 2018","Col_20",15,0.002832,0.92,1.72,"Sub 1","before","Control","",2.832
"311","4 July 2018","Col_21",11,0.002762,0.95,1.53,"Sub 1","before","Control","",2.762
"312","4 July 2018","Col_21",12,0.002762,0.99,1.91,"Sub 1","before","Control","",2.762
"313","4 July 2018","Col_21",13,0.002762,0.96,1.67,"Sub 1","before","Control","",2.762
"314","4 July 2018","Col_21",14,0.002762,1.11,2.07,"Sub 1","before","Control","",2.762
"315","4 July 2018","Col_21",15,0.002762,1.06,2.01,"Sub 1","before","Control","",2.762
"326","4 July 2018","Col_22",11,0.002308,0.96,1.53,"Sub 1","before","Control","",2.308
"327","4 July 2018","Col_22",12,0.002308,1.03,1.8,"Sub 1","before","Control","",2.308
"328","4 July 2018","Col_22",13,0.002308,0.94,1.63,"Sub 1","before","Control","",2.308
"329","4 July 2018","Col_22",14,0.002308,0.92,1.67,"Sub 1","before","Control","",2.308
"330","4 July 2018","Col_22",15,0.002308,0.94,1.9,"Sub 1","before","Control","",2.308
"341","4 July 2018","Col_23",11,0.00301,1.13,1.94,"Sub 1","before","Control","",3.01
"342","4 July 2018","Col_23",12,0.00301,1.08,2.11,"Sub 1","before","Control","",3.01
"343","4 July 2018","Col_23",13,0.00301,0.95,1.68,"Sub 1","before","Control","",3.01
"344","4 July 2018","Col_23",14,0.00301,1.06,2.02,"Sub 1","before","Control","",3.01
"345","4 July 2018","Col_23",15,0.00301,1.03,1.88,"Sub 1","before","Control","",3.01
"356","4 July 2018","Col_24",11,0.002536,1.06,1.94,"Sub 1","before","Control","",2.536
"357","4 July 2018","Col_24",12,0.002536,0.95,1.59,"Sub 1","before","Control","",2.536
"358","4 July 2018","Col_24",13,0.002536,1.01,1.88,"Sub 1","before","Control","",2.536
"359","4 July 2018","Col_24",14,0.002536,0.97,1.74,"Sub 1","before","Control","",2.536
"360","4 July 2018","Col_24",15,0.002536,1.07,1.96,"Sub 1","before","Control","",2.536
