"","Nest","Treatment","after.res.x","instar.x","after.res.y","instar.y","after.res"
"1","Col_01","Parasite",-0.120443053321419,"Adult",0.0228162234346311,"Sub2",0.000259011329479565
"2","Col_02","Parasite",0.0259619467261271,"Adult",0.132939152338137,"Sub2",-0.0984948589964072
"3","Col_03","Parasite",-0.034108744929102,"Adult",-0.0499615339223777,"Sub2",-0.0117315250786418
"4","Col_04","Parasite",-0.0913066065065153,"Adult",-0.0310534581695103,"Sub2",0.0906303429445296
"5","Col_05","Parasite",-0.0482527363923474,"Adult",0.0111797444054907,"Sub2",0.0501328605575153
"6","Col_06","Parasite",-0.242963491617314,"Adult",-0.0303285874610091,"Sub2",0.295960269836712
"7","Col_07","Parasite",-0.0518305809527311,"Adult",-0.0895586169257197,"Sub2",-0.109744804770226
"8","Col_08","Parasite",0.0345123732204533,"Adult",0.113594347579136,"Sub2",0.165891045162025
"9","Col_09","Parasite",-0.00969275958240969,"Adult",-0.00307792040816726,"Sub2",0.0318997691988685
"10","Col_10","Parasite",-0.0338456258648476,"Adult",0.0172953381213418,"Sub2",-0.0514243035661203
"11","Col_11","Parasite",0.0680741909493178,"Adult",0.0751445170139075,"Sub2",0.121428710247794
"12","Col_12","Parasite",0.0783177032199013,"Adult",0.132204421750358,"Sub2",0.0869455825771809
"13","Col_13","Control",0.14425045557308,"Adult",0.137447494877248,"Sub2",0.0945459935772545
"14","Col_14","Control",-0.00109030861285496,"Adult",NA,NA,0.105680370098005
"15","Col_15","Control",0.0716317628183843,"Adult",-0.0900443181327381,"Sub2",0.244287445251504
"16","Col_16","Control",-0.14992862704147,"Adult",-0.0644175523843587,"Sub2",-0.111474124720784
"17","Col_17","Control",-0.0630043269108855,"Adult",0.108799316843332,"Sub2",0.0202362234775852
"18","Col_18","Control",-0.198453996089968,"Adult",0.0996664714583812,"Sub2",0.150048632876165
"19","Col_19","Control",0.187550366548018,"Adult",-0.134705120898937,"Sub2",0.10688113865085
"20","Col_20","Control",-0.0897692405099898,"Adult",0.0492132051981517,"Sub2",0.342671147519341
"21","Col_22","Control",-0.0958488070457823,"Adult",0.0458626647904279,"Sub2",0.0413192853866808
"22","Col_23","Control",0.100185316924743,"Adult",0.124780707832099,"Sub2",0.147146894066662
"23","Col_24","Control",-0.0143990243937156,"Adult",0.0681709083355412,"Sub2",-0.0152567965829092
