Date,Nest,Ind#,weight.grams,CT-W,PT-L,instar,Measurement,Treatment,notes
3 July 2018,Col_06,5,0.00917,1.42,3.32,Adult,before,Parasite,
3 July 2018,Col_06,6,0.00501,1.19,2.11,Sub 2,before,Parasite,
3 July 2018,Col_06,7,0.00412,1.1,2.06,Sub 2,before,Parasite,
3 July 2018,Col_06,8,0.00472,1.23,2.4,Sub 2,before,Parasite,
3 July 2018,Col_06,9,0.00315,1.12,2.17,Sub 2,before,Parasite,
3 July 2018,Col_06,10,0.0055,1.15,2.05,Sub 2,before,Parasite,
3 July 2018,Col_06,11,NA,0.98,1.56,Sub 1,before,Parasite,
3 July 2018,Col_06,12,NA,0.91,1.45,Sub 1,before,Parasite,
3 July 2018,Col_06,13,NA,0.96,1.6,Sub 1,before,Parasite,
3 July 2018,Col_06,14,NA,0.86,1.23,Sub 1,before,Parasite,
3 July 2018,Col_06,15,NA,0.88,1.31,Sub 1,before,Parasite,
3 July 2018,Col_07,1,0.00864,1.55,3.62,Adult,before,Parasite,
3 July 2018,Col_07,2,0.01172,1.56,3.42,Adult,before,Parasite,
3 July 2018,Col_07,3,0.00972,1.53,3.44,Adult,before,Parasite,
3 July 2018,Col_07,4,0.00906,1.51,3.45,Adult,before,Parasite,
3 July 2018,Col_07,5,0.0105,1.45,3.33,Adult,before,Parasite,
3 July 2018,Col_07,6,0.00415,1.13,2.27,Sub 2,before,Parasite,
3 July 2018,Col_07,7,0.0044,1.17,2.16,Sub 2,before,Parasite,
3 July 2018,Col_07,8,0.00366,1.08,2.15,Sub 2,before,Parasite,
3 July 2018,Col_07,9,0.00494,1.25,2.31,Sub 2,before,Parasite,
3 July 2018,Col_07,10,0.00383,1.1,2.09,Sub 2,before,Parasite,
3 July 2018,Col_07,11,NA,0.97,1.72,Sub 1,before,Parasite,
3 July 2018,Col_07,12,NA,0.98,1.68,Sub 1,before,Parasite,
3 July 2018,Col_07,13,NA,1.01,1.81,Sub 1,before,Parasite,
3 July 2018,Col_07,14,NA,0.91,1.71,Sub 1,before,Parasite,
3 July 2018,Col_07,15,NA,0.98,1.53,Sub 1,before,Parasite,
3 July 2018,Col_08,1,0.00929,1.39,3.56,Adult,before,Parasite,
3 July 2018,Col_08,2,0.00864,1.45,3.34,Adult,before,Parasite,
3 July 2018,Col_08,3,0.00978,1.44,3.28,Adult,before,Parasite,
3 July 2018,Col_08,4,0.00917,1.57,3.67,Adult,before,Parasite,
3 July 2018,Col_08,5,0.00907,1.45,3.43,Adult,before,Parasite,
3 July 2018,Col_08,6,0.00509,1.27,2.78,Sub 2,before,Parasite,
3 July 2018,Col_08,7,0.00598,1.2,2.15,Sub 2,before,Parasite,
3 July 2018,Col_08,8,0.00539,1.13,1.59,Sub 2,before,Parasite,
3 July 2018,Col_08,9,0.00456,1.25,2.36,Sub 2,before,Parasite,
3 July 2018,Col_08,10,0.00941,1.41,2.64,Sub 2,before,Parasite,
3 July 2018,Col_08,11,NA,0.94,1.55,Sub 1,before,Parasite,
3 July 2018,Col_08,12,NA,0.89,1.5,Sub 1,before,Parasite,
3 July 2018,Col_08,13,NA,0.84,1.51,Sub 1,before,Parasite,
3 July 2018,Col_08,14,NA,0.98,1.62,Sub 1,before,Parasite,
3 July 2018,Col_08,15,NA,1.05,1.64,Sub 1,before,Parasite,
3 July 2018,Col_09,1,0.00816,1.43,3.04,Adult,before,Parasite,
3 July 2018,Col_09,2,0.00812,1.27,2.91,Adult,before,Parasite,
3 July 2018,Col_09,3,0.00898,1.49,3.17,Adult,before,Parasite,
3 July 2018,Col_09,4,0.01186,1.43,3,Adult,before,Parasite,
3 July 2018,Col_09,5,0.00866,1.38,3.46,Adult,before,Parasite,
3 July 2018,Col_09,6,0.00407,1.11,2.05,Sub 2,before,Parasite,
3 July 2018,Col_09,7,0.00453,1.24,2.51,Sub 2,before,Parasite,
3 July 2018,Col_09,8,0.00439,1.21,2,Sub 2,before,Parasite,
3 July 2018,Col_09,9,0.00382,1.27,2.5,Sub 2,before,Parasite,
3 July 2018,Col_09,10,0.00462,1.17,2.43,Sub 2,before,Parasite,
3 July 2018,Col_09,11,NA,0.93,1.6,Sub 1,before,Parasite,
3 July 2018,Col_09,12,NA,0.91,1.52,Sub 1,before,Parasite,
3 July 2018,Col_09,13,NA,1,2.06,Sub 1,before,Parasite,
3 July 2018,Col_09,14,NA,0.98,1.67,Sub 1,before,Parasite,
3 July 2018,Col_09,15,NA,0.94,2.04,Sub 1,before,Parasite,
