"","Date","Treatment","Nest","Time","Order","Size","Code","X..Seen","Notes","Interval","SizeNoNA"
"828","19-Jul-18","Control","Iy_05","18:05","Diptera",7,"H",NA,"",2,7
"831","19-Jul-18","Control","Iy_05","20:10",NA,NA,"H",NA,"",2,0
"832","30-Jul-18","Experimental","Iy_05","8:23","Diptera",6,"H",NA,"",NA,6
"833","30-Jul-18","Experimental","Iy_05","8:23","Coleoptera",7,"H",NA,"",NA,7
"834","30-Jul-18","Experimental","Iy_05","10:05",NA,NA,"H",NA,"",2,0
"835","30-Jul-18","Experimental","Iy_05","12:01","Unknown",6,"H",NA,"",2,6
"836","30-Jul-18","Experimental","Iy_05","14:08","Coleoptera",18,"H",NA,"",2,18
"837","30-Jul-18","Experimental","Iy_05","16:01","Coleoptera",1,"H",NA,"",2,1
"838","31-Jul-18","Experimental","Iy_05","16:01","Diptera",8,"H",NA,"",NA,8
"839","31-Jul-18","Experimental","Iy_05","18:09","Coleoptera",7,"H",NA,"",2,7
"840","31-Jul-18","Experimental","Iy_05","20:08","Coleoptera",12,"H",NA,"",2,12
"841","31-Jul-18","Experimental","Iy_05","20:08","Hemiptera",6,"H",NA,"",2,6
"842","31-Jul-18","Experimental","Iy_05","20:08","Hemiptera",8,"H",NA,"",2,8
"843","31-Jul-18","Experimental","Iy_05","20:08","Diptera",7,"H",NA,"",2,7
"844","31-Jul-18","Experimental","Iy_05","22:03","Larva",2,"H",NA,"",2,2
"845","31-Jul-18","Experimental","Iy_05","23:53",NA,NA,"H",NA,"",2,0
"848","18-Jul-18","Control","Iy_06","8:08",NA,NA,"H",NA,"",NA,0
"851","18-Jul-18","Control","Iy_06","10:03",NA,NA,"H",NA,"",2,0
"854","18-Jul-18","Control","Iy_06","12:06",NA,NA,"H",NA,"",2,0
"857","18-Jul-18","Control","Iy_06","14:07",NA,NA,"H",NA,"",2,0
"860","18-Jul-18","Control","Iy_06","16:08",NA,NA,"H",NA,"",2,0
"863","18-Jul-18","Control","Iy_06","20:30","Unknown",1,"H",NA,"",NA,1
"866","18-Jul-18","Control","Iy_06","22:14",NA,NA,"H",NA,"",2,0
"869","19-Jul-18","Control","Iy_06","0:09",NA,NA,"H",NA,"",2,0
"872","19-Jul-18","Control","Iy_06","4:06",NA,NA,"H",NA,"",NA,0
"875","19-Jul-18","Control","Iy_06","6:05",NA,NA,"H",NA,"",2,0
"878","19-Jul-18","Control","Iy_06","8:06","Diptera",10,"H",NA,"",2,10
"881","19-Jul-18","Control","Iy_06","16:09",NA,NA,"H",NA,"",NA,0
"884","19-Jul-18","Control","Iy_06","18:06",NA,NA,"H",NA,"",2,0
"887","19-Jul-18","Control","Iy_06","20:12",NA,NA,"H",NA,"",2,0
"888","30-Jul-18","Experimental","Iy_06","8:27",NA,NA,"H",NA,"",NA,0
"889","30-Jul-18","Experimental","Iy_06","10:06",NA,NA,"H",NA,"",2,0
"890","30-Jul-18","Experimental","Iy_06","12:02",NA,NA,"H",NA,"",2,0
"891","30-Jul-18","Experimental","Iy_06","14:09",NA,NA,"H",NA,"",2,0
"892","30-Jul-18","Experimental","Iy_06","16:01",NA,NA,"H",NA,"",2,0
"893","31-Jul-18","Experimental","Iy_06","16:02",NA,NA,"H",NA,"",NA,0
"894","31-Jul-18","Experimental","Iy_06","18:09",NA,NA,"H",NA,"",2,0
"895","31-Jul-18","Experimental","Iy_06","20:10","Unknown",2,"H",NA,"",2,2
"896","31-Jul-18","Experimental","Iy_06","22:04",NA,NA,"H",NA,"",2,0
"897","31-Jul-18","Experimental","Iy_06","23:54",NA,NA,"H",NA,"",2,0
"901","18-Jul-18","Control","Iy_07","8:10","Coleoptera",2,"H",NA,"",NA,2
"902","18-Jul-18","Control","Iy_07","8:10","Hemiptera",5,"H",NA,"",NA,5
"905","18-Jul-18","Control","Iy_07","10:06","Diptera",2,"H",NA,"",2,2
"908","18-Jul-18","Control","Iy_07","12:08","Hymenoptera",7,"H",NA,"",2,7
"911","18-Jul-18","Control","Iy_07","14:10",NA,NA,"H",NA,"",2,0
"914","18-Jul-18","Control","Iy_07","16:09",NA,NA,"H",NA,"",2,0
"917","18-Jul-18","Control","Iy_07","20:31","Coleoptera",7,"H",NA,"",NA,7
"918","18-Jul-18","Control","Iy_07","20:31","Diptera",6,"H",NA,"",NA,6
"919","18-Jul-18","Control","Iy_07","20:31","Coleoptera",3,"H",NA,"",NA,3
"920","18-Jul-18","Control","Iy_07","20:31","Coleoptera",1,"H",NA,"",NA,1
"923","18-Jul-18","Control","Iy_07","22:16","Unknown",1,"H",NA,"",2,1
"926","19-Jul-18","Control","Iy_07","0:10",NA,NA,"H",NA,"",2,0
"929","19-Jul-18","Control","Iy_07","4:07",NA,NA,"H",NA,"",NA,0
"932","19-Jul-18","Control","Iy_07","6:06",NA,NA,"H",NA,"",2,0
"935","19-Jul-18","Control","Iy_07","8:08","Diptera",2,"H",NA,"",2,2
"938","19-Jul-18","Control","Iy_07","16:10",NA,NA,"H",NA,"",NA,0
"941","19-Jul-18","Control","Iy_07","18:07",NA,NA,"H",NA,"",2,0
"944","19-Jul-18","Control","Iy_07","20:13",NA,NA,"H",NA,"",2,0
"945","30-Jul-18","Experimental","Iy_07","8:32","Hymenoptera",9,"H",NA,"",NA,9
"946","30-Jul-18","Experimental","Iy_07","10:08",NA,NA,"H",NA,"",2,0
"947","30-Jul-18","Experimental","Iy_07","12:02","Coleoptera",6,"H",NA,"",2,6
"948","30-Jul-18","Experimental","Iy_07","14:10","Hymenoptera",4,"H",NA,"",2,4
"949","30-Jul-18","Experimental","Iy_07","16:02",NA,NA,"H",NA,"",2,0
"950","31-Jul-18","Experimental","Iy_07","16:03",NA,NA,"H",NA,"",NA,0
"951","31-Jul-18","Experimental","Iy_07","18:10",NA,NA,"H",NA,"",2,0
"952","31-Jul-18","Experimental","Iy_07","20:11",NA,NA,"H",NA,"",2,0
"953","31-Jul-18","Experimental","Iy_07","22:04",NA,NA,"H",NA,"",2,0
"954","31-Jul-18","Experimental","Iy_07","23:55",NA,NA,"H",NA,"",2,0
"957","18-Jul-18","Control","Iy_08","8:14",NA,NA,"H",NA,"",NA,0
"960","18-Jul-18","Control","Iy_08","10:08","Coleoptera",12,"H",NA,"",2,12
"963","18-Jul-18","Control","Iy_08","12:10",NA,NA,"H",NA,"",2,0
"966","18-Jul-18","Control","Iy_08","14:13",NA,NA,"H",NA,"",2,0
"969","18-Jul-18","Control","Iy_08","16:11",NA,NA,"H",NA,"",2,0
"972","18-Jul-18","Control","Iy_08","20:34","Unknown",1,"H",NA,"",NA,1
"975","18-Jul-18","Control","Iy_08","22:18",NA,NA,"H",NA,"",2,0
"978","19-Jul-18","Control","Iy_08","0:12",NA,NA,"H",NA,"",2,0
"981","19-Jul-18","Control","Iy_08","4:09",NA,NA,"H",NA,"",NA,0
"984","19-Jul-18","Control","Iy_08","6:07",NA,NA,"H",NA,"",2,0
"987","19-Jul-18","Control","Iy_08","8:10","Coleoptera",6,"H",NA,"",2,6
"990","19-Jul-18","Control","Iy_08","16:11","Hymenoptera",7,"H",NA,"",NA,7
"991","19-Jul-18","Control","Iy_08","16:11","Diptera",9,"H",NA,"",NA,9
"992","19-Jul-18","Control","Iy_08","16:11","Hymenoptera",12,"H",NA,"",NA,12
"995","19-Jul-18","Control","Iy_08","18:09",NA,NA,"H",NA,"",2,0
"998","19-Jul-18","Control","Iy_08","20:15",NA,NA,"H",NA,"",2,0
"999","30-Jul-18","Experimental","Iy_08","8:38",NA,NA,"H",NA,"",NA,0
"1000","30-Jul-18","Experimental","Iy_08","10:09",NA,NA,"H",NA,"",2,0
"1001","30-Jul-18","Experimental","Iy_08","12:03",NA,NA,"H",NA,"",2,0
"1002","30-Jul-18","Experimental","Iy_08","14:11",NA,NA,"H",NA,"",2,0
"1003","30-Jul-18","Experimental","Iy_08","16:03",NA,NA,"H",NA,"",2,0
"1004","31-Jul-18","Experimental","Iy_08","16:04","Coleoptera",2,"H",NA,"",NA,2
"1005","31-Jul-18","Experimental","Iy_08","18:11",NA,NA,"H",NA,"",2,0
"1006","31-Jul-18","Experimental","Iy_08","20:12","Lepidoptera",12,"H",NA,"",2,12
"1007","31-Jul-18","Experimental","Iy_08","22:05","Larva",3,"H",NA,"",2,3
"1008","31-Jul-18","Experimental","Iy_08","23:56",NA,NA,"H",NA,"",2,0
"1011","18-Jul-18","Control","Iy_11","8:20","Coleoptera",11,"H",NA,"Nest partially destroyed",NA,11
"1014","18-Jul-18","Control","Iy_11","10:10","Coleoptera",3,"H",NA,"",2,3
"1015","18-Jul-18","Control","Iy_11","10:10","Coleoptera",7,"H",NA,"",2,7
"1016","18-Jul-18","Control","Iy_11","10:10","Coleoptera",7,"H",NA,"",2,7
"1019","18-Jul-18","Control","Iy_11","12:13",NA,NA,"H",NA,"",2,0
"1022","18-Jul-18","Control","Iy_11","14:16","Hymenoptera",4,"H",NA,"",2,4
"1025","18-Jul-18","Control","Iy_11","16:13","Coleoptera",4,"H",NA,"",2,4
"1026","18-Jul-18","Control","Iy_11","16:13","Coleoptera",5,"H",NA,"",2,5
"1030","18-Jul-18","Control","Iy_11","20:36",NA,NA,"H",NA,"",NA,0
"1033","18-Jul-18","Control","Iy_11","22:19",NA,NA,"H",NA,"",2,0
"1036","19-Jul-18","Control","Iy_11","0:15",NA,NA,"H",NA,"",2,0
"1039","19-Jul-18","Control","Iy_11","4:10",NA,NA,"H",NA,"",NA,0
"1042","19-Jul-18","Control","Iy_11","6:09",NA,NA,"H",NA,"",2,0
"1045","19-Jul-18","Control","Iy_11","8:12",NA,NA,"H",NA,"",2,0
"1048","19-Jul-18","Control","Iy_11","16:15",NA,NA,"H",NA,"",NA,0
"1050","19-Jul-18","Control","Iy_11","18:10",NA,NA,"H",4,"",2,0
"1051","19-Jul-18","Control","Iy_11","18:10","Coleoptera",2,"H",NA,"",2,2
"1052","19-Jul-18","Control","Iy_11","18:10","Coleoptera",11,"H",NA,"",2,11
"1055","19-Jul-18","Control","Iy_11","20:16",NA,NA,"H",NA,"",2,0
"1056","30-Jul-18","Experimental","Iy_11","8:51","Orthoptera",50,"H",NA,"",NA,50
"1057","30-Jul-18","Experimental","Iy_11","8:51","Coleoptera",9,"H",NA,"",NA,9
"1058","30-Jul-18","Experimental","Iy_11","8:51","Coleoptera",8,"H",NA,"",NA,8
"1059","30-Jul-18","Experimental","Iy_11","8:51","Coleoptera",15,"H",NA,"",NA,15
"1060","30-Jul-18","Experimental","Iy_11","10:11","Coleoptera",15,"H",NA,"",2,15
"1061","30-Jul-18","Experimental","Iy_11","12:04",NA,NA,"H",NA,"",2,0
"1062","30-Jul-18","Experimental","Iy_11","14:12",NA,NA,"H",NA,"",2,0
"1063","30-Jul-18","Experimental","Iy_11","16:05","Diptera",4,"H",NA,"",2,4
"1064","30-Jul-18","Experimental","Iy_11","16:05","Hemiptera",11,"H",NA,"",NA,11
"1065","30-Jul-18","Experimental","Iy_11","16:05","Coleoptera",23,"H",NA,"",NA,23
"1066","30-Jul-18","Experimental","Iy_11","16:05","Coleoptera",8,"H",NA,"",NA,8
"1067","31-Jul-18","Experimental","Iy_11","16:06","Coleoptera",8,"H",NA,"",NA,8
"1068","31-Jul-18","Experimental","Iy_11","16:06","Unknown",2,"H",NA,"",NA,2
"1069","31-Jul-18","Experimental","Iy_11","16:06","Coleoptera",10,"H",NA,"",NA,10
"1070","31-Jul-18","Experimental","Iy_11","18:12","Orthoptera",17,"H",NA,"",2,17
"1071","31-Jul-18","Experimental","Iy_11","18:12","Hemiptera",10,"H",NA,"",2,10
"1072","31-Jul-18","Experimental","Iy_11","18:12","Coleoptera",2,"H",NA,"",2,2
"1073","31-Jul-18","Experimental","Iy_11","20:14","Diptera",3,"H",NA,"",2,3
"1074","31-Jul-18","Experimental","Iy_11","20:14","Coleoptera",2,"H",NA,"",2,2
"1075","31-Jul-18","Experimental","Iy_11","20:14","Larva",2,"H",NA,"",2,2
"1076","31-Jul-18","Experimental","Iy_11","20:14","Unknown",5,"H",NA,"",2,5
"1077","31-Jul-18","Experimental","Iy_11","22:08","Hemiptera",3,"H",NA,"",2,3
"1078","31-Jul-18","Experimental","Iy_11","22:08","Unknown",2,"H",NA,"",2,2
"1079","31-Jul-18","Experimental","Iy_11","23:57",NA,NA,"H",NA,"",2,0
